candlestick_code4,label_increase,label_decrease,occurrence,percentage
BBBB,21,20,41,0.51
BBBD,2,5,7,0.29
BBBK,0,1,1,0.0
BBBL,3,1,4,0.75
BBBM,9,9,18,0.5
BBBN,11,16,27,0.41
BBBP,13,18,31,0.42
BBBS,6,5,11,0.55
BBBb,23,8,31,0.74
BBBh,2,1,3,0.67
BBBj,3,1,4,0.75
BBBl,2,3,5,0.4
BBBm,19,9,28,0.68
BBBn,17,19,36,0.47
BBBs,7,2,9,0.78
BBBt,2,2,4,0.5
BBDB,2,1,3,0.67
BBDD,3,0,3,1.0
BBDH,2,3,5,0.4
BBDI,0,1,1,0.0
BBDL,3,0,3,1.0
BBDM,0,1,1,0.0
BBDN,0,0,0,
BBDP,1,4,5,0.2
BBDS,0,0,0,
BBDb,1,2,3,0.33
BBDl,1,0,1,1.0
BBDm,3,0,3,1.0
BBDn,0,1,1,0.0
BBDs,2,3,5,0.4
BBHM,1,0,1,1.0
BBHN,0,1,1,0.0
BBHP,0,1,1,0.0
BBKB,0,0,0,
BBKD,0,1,1,0.0
BBKH,1,0,1,1.0
BBKM,0,0,0,
BBKN,1,0,1,1.0
BBKP,3,0,3,1.0
BBKS,0,2,2,0.0
BBKb,1,0,1,1.0
BBKh,0,2,2,0.0
BBKl,1,0,1,1.0
BBKm,1,0,1,1.0
BBKs,2,0,2,1.0
BBLB,3,3,6,0.5
BBLD,0,1,1,0.0
BBLL,1,0,1,1.0
BBLM,4,4,8,0.5
BBLN,0,2,2,0.0
BBLP,5,6,11,0.45
BBLb,4,1,5,0.8
BBLh,2,2,4,0.5
BBLj,4,2,6,0.67
BBLl,2,1,3,0.67
BBLm,0,5,5,0.0
BBLn,4,10,14,0.29
BBLs,3,1,4,0.75
BBLt,0,3,3,0.0
BBMB,6,10,16,0.38
BBMD,0,0,0,
BBML,3,1,4,0.75
BBMM,7,12,19,0.37
BBMN,7,10,17,0.41
BBMP,7,13,20,0.35
BBMS,3,6,9,0.33
BBMb,9,9,18,0.5
BBMh,3,7,10,0.3
BBMj,3,4,7,0.43
BBMl,1,4,5,0.2
BBMm,17,13,30,0.57
BBMn,13,14,27,0.48
BBMs,4,3,7,0.57
BBMt,1,0,1,1.0
BBNB,9,8,17,0.53
BBND,3,1,4,0.75
BBNH,2,1,3,0.67
BBNI,0,1,1,0.0
BBNK,1,0,1,1.0
BBNL,3,2,5,0.6
BBNM,11,10,21,0.52
BBNN,10,15,25,0.4
BBNP,9,16,25,0.36
BBNS,7,6,13,0.54
BBNb,9,7,16,0.56
BBNh,3,6,9,0.33
BBNl,2,5,7,0.29
BBNm,15,19,34,0.44
BBNn,15,21,36,0.42
BBNs,9,7,16,0.56
BBNt,3,2,5,0.6
BBPB,14,12,26,0.54
BBPD,1,2,3,0.33
BBPH,3,7,10,0.3
BBPI,2,1,3,0.67
BBPK,1,3,4,0.25
BBPL,3,5,8,0.38
BBPM,12,12,24,0.5
BBPN,21,19,40,0.52
BBPP,24,22,46,0.52
BBPS,15,13,28,0.54
BBPb,8,10,18,0.44
BBPh,2,2,4,0.5
BBPl,4,10,14,0.29
BBPm,16,13,29,0.55
BBPn,13,14,27,0.48
BBPs,3,4,7,0.43
BBPt,3,0,3,1.0
BBSB,1,10,11,0.09
BBSD,2,0,2,1.0
BBSH,1,1,2,0.5
BBSL,2,0,2,1.0
BBSM,6,3,9,0.67
BBSN,7,13,20,0.35
BBSP,2,6,8,0.25
BBSS,3,5,8,0.38
BBSb,3,6,9,0.33
BBSh,5,1,6,0.83
BBSl,1,3,4,0.25
BBSm,6,5,11,0.55
BBSn,4,3,7,0.57
BBSs,4,3,7,0.57
BBSt,0,1,1,0.0
BBbB,15,8,23,0.65
BBbD,1,0,1,1.0
BBbH,6,1,7,0.86
BBbI,0,1,1,0.0
BBbJ,3,1,4,0.75
BBbK,2,0,2,1.0
BBbL,1,5,6,0.17
BBbM,9,11,20,0.45
BBbN,14,16,30,0.47
BBbP,22,24,46,0.48
BBbS,10,9,19,0.53
BBbb,9,10,19,0.47
BBbl,6,3,9,0.67
BBbm,15,5,20,0.75
BBbn,11,13,24,0.46
BBbs,3,2,5,0.6
BBhB,1,2,3,0.33
BBhL,1,0,1,1.0
BBhM,1,2,3,0.33
BBhN,2,0,2,1.0
BBhP,1,2,3,0.33
BBhS,1,0,1,1.0
BBhb,1,1,2,0.5
BBhh,1,0,1,1.0
BBhm,1,1,2,0.5
BBhn,1,1,2,0.5
BBht,1,0,1,1.0
BBjB,2,4,6,0.33
BBjH,0,1,1,0.0
BBjI,1,0,1,1.0
BBjK,0,0,0,
BBjL,0,4,4,0.0
BBjM,2,0,2,1.0
BBjN,5,3,8,0.62
BBjP,3,5,8,0.38
BBjS,1,3,4,0.25
BBjb,3,3,6,0.5
BBjl,0,1,1,0.0
BBjm,1,3,4,0.25
BBjn,3,2,5,0.6
BBjs,1,5,6,0.17
BBjt,0,0,0,
BBlB,4,2,6,0.67
BBlD,0,1,1,0.0
BBlH,3,0,3,1.0
BBlI,0,2,2,0.0
BBlJ,1,2,3,0.33
BBlL,1,1,2,0.5
BBlM,1,4,5,0.2
BBlN,2,3,5,0.4
BBlP,0,6,6,0.0
BBlS,1,3,4,0.25
BBlb,2,5,7,0.29
BBll,2,1,3,0.67
BBlm,4,4,8,0.5
BBln,7,5,12,0.58
BBls,1,4,5,0.2
BBmB,10,10,20,0.5
BBmD,5,2,7,0.71
BBmH,8,9,17,0.47
BBmI,2,0,2,1.0
BBmJ,2,3,5,0.4
BBmL,3,3,6,0.5
BBmM,13,12,25,0.52
BBmN,19,13,32,0.59
BBmP,17,9,26,0.65
BBmS,8,6,14,0.57
BBmb,11,7,18,0.61
BBml,6,0,6,1.0
BBmm,9,7,16,0.56
BBmn,15,10,25,0.6
BBms,3,5,8,0.38
BBnB,13,10,23,0.57
BBnD,2,1,3,0.67
BBnH,5,10,15,0.33
BBnI,0,1,1,0.0
BBnK,2,4,6,0.33
BBnL,4,3,7,0.57
BBnM,10,10,20,0.5
BBnN,24,24,48,0.5
BBnP,14,15,29,0.48
BBnS,8,4,12,0.67
BBnb,8,12,20,0.4
BBnh,1,2,3,0.33
BBnl,8,5,13,0.62
BBnm,23,13,36,0.64
BBnn,20,21,41,0.49
BBns,11,7,18,0.61
BBnt,0,1,1,0.0
BBsB,4,7,11,0.36
BBsD,2,0,2,1.0
BBsH,3,3,6,0.5
BBsI,2,0,2,1.0
BBsL,2,1,3,0.67
BBsM,2,8,10,0.2
BBsN,2,5,7,0.29
BBsP,6,8,14,0.43
BBsS,8,4,12,0.67
BBsb,2,1,3,0.67
BBsh,1,0,1,1.0
BBsl,1,1,2,0.5
BBsm,6,3,9,0.67
BBsn,6,2,8,0.75
BBss,2,4,6,0.33
BBtB,3,3,6,0.5
BBtL,0,1,1,0.0
BBtM,1,0,1,1.0
BBtN,3,2,5,0.6
BBtP,1,1,2,0.5
BBtS,2,0,2,1.0
BBtb,0,5,5,0.0
BBtm,2,2,4,0.5
BBtn,2,1,3,0.67
BBts,2,2,4,0.5
BBtt,1,0,1,1.0
BDBB,3,3,6,0.5
BDBD,0,1,1,0.0
BDBH,1,0,1,1.0
BDBL,0,2,2,0.0
BDBM,1,5,6,0.17
BDBN,2,0,2,1.0
BDBP,2,7,9,0.22
BDBS,0,1,1,0.0
BDBb,2,2,4,0.5
BDBh,0,2,2,0.0
BDBl,1,0,1,1.0
BDBm,2,1,3,0.67
BDBn,3,2,5,0.6
BDBs,1,1,2,0.5
BDDB,1,2,3,0.33
BDDD,0,1,1,0.0
BDDH,0,1,1,0.0
BDDM,3,3,6,0.5
BDDN,1,1,2,0.5
BDDP,1,1,2,0.5
BDDS,1,0,1,1.0
BDDb,0,0,0,
BDDh,0,1,1,0.0
BDDm,5,0,5,1.0
BDDs,1,0,1,1.0
BDHB,1,1,2,0.5
BDHD,1,2,3,0.33
BDHH,1,0,1,1.0
BDHI,1,0,1,1.0
BDHL,0,1,1,0.0
BDHM,2,0,2,1.0
BDHN,3,1,4,0.75
BDHP,5,1,6,0.83
BDHS,3,2,5,0.6
BDHb,2,1,3,0.67
BDHh,2,1,3,0.67
BDHm,4,0,4,1.0
BDHn,3,2,5,0.6
BDHs,1,2,3,0.33
BDIB,0,0,0,
BDID,0,1,1,0.0
BDIL,1,0,1,1.0
BDIM,1,1,2,0.5
BDIP,0,1,1,0.0
BDIb,0,1,1,0.0
BDIm,0,1,1,0.0
BDIn,0,1,1,0.0
BDIs,0,1,1,0.0
BDKb,0,1,1,0.0
BDLB,0,2,2,0.0
BDLH,1,0,1,1.0
BDLL,0,0,0,
BDLM,1,0,1,1.0
BDLN,2,1,3,0.67
BDLP,1,1,2,0.5
BDLS,1,1,2,0.5
BDLb,1,0,1,1.0
BDLh,1,1,2,0.5
BDLn,1,0,1,1.0
BDLs,0,3,3,0.0
BDMB,4,1,5,0.8
BDMD,0,1,1,0.0
BDML,0,1,1,0.0
BDMM,2,1,3,0.67
BDMN,0,2,2,0.0
BDMP,2,2,4,0.5
BDMS,0,2,2,0.0
BDMb,2,0,2,1.0
BDMh,0,3,3,0.0
BDMm,5,3,8,0.62
BDMn,0,2,2,0.0
BDMs,0,0,0,
BDMt,1,0,1,1.0
BDNB,1,1,2,0.5
BDND,0,1,1,0.0
BDNH,1,0,1,1.0
BDNL,0,2,2,0.0
BDNM,2,2,4,0.5
BDNN,2,1,3,0.67
BDNP,2,0,2,1.0
BDNS,1,1,2,0.5
BDNb,2,2,4,0.5
BDNh,0,1,1,0.0
BDNm,2,2,4,0.5
BDNn,3,0,3,1.0
BDNs,0,0,0,
BDNt,0,1,1,0.0
BDPB,1,2,3,0.33
BDPH,2,0,2,1.0
BDPI,1,0,1,1.0
BDPL,1,0,1,1.0
BDPM,4,5,9,0.44
BDPN,3,1,4,0.75
BDPP,1,3,4,0.25
BDPS,6,1,7,0.86
BDPb,2,0,2,1.0
BDPh,1,1,2,0.5
BDPl,0,2,2,0.0
BDPm,2,2,4,0.5
BDPn,3,1,4,0.75
BDPs,1,0,1,1.0
BDSB,3,3,6,0.5
BDSD,2,0,2,1.0
BDSH,0,2,2,0.0
BDSL,1,1,2,0.5
BDSM,0,3,3,0.0
BDSN,1,0,1,1.0
BDSP,5,1,6,0.83
BDSS,2,1,3,0.67
BDSb,3,2,5,0.6
BDSh,1,0,1,1.0
BDSl,1,1,2,0.5
BDSm,3,2,5,0.6
BDSn,1,1,2,0.5
BDSs,1,2,3,0.33
BDbB,2,1,3,0.67
BDbD,0,0,0,
BDbJ,1,1,2,0.5
BDbL,1,1,2,0.5
BDbM,2,1,3,0.67
BDbN,2,0,2,1.0
BDbP,2,3,5,0.4
BDbS,1,1,2,0.5
BDbb,0,0,0,
BDbl,0,0,0,
BDbm,3,4,7,0.43
BDbn,0,2,2,0.0
BDbs,2,0,2,1.0
BDhS,1,0,1,1.0
BDlB,1,0,1,1.0
BDlD,0,1,1,0.0
BDlJ,1,0,1,1.0
BDlM,1,0,1,1.0
BDlN,2,1,3,0.67
BDlP,0,1,1,0.0
BDlS,0,1,1,0.0
BDlb,0,1,1,0.0
BDlm,1,1,2,0.5
BDls,0,1,1,0.0
BDmB,4,2,6,0.67
BDmD,1,0,1,1.0
BDmH,0,1,1,0.0
BDmJ,0,1,1,0.0
BDmL,1,1,2,0.5
BDmM,1,1,2,0.5
BDmN,5,1,6,0.83
BDmP,4,4,8,0.5
BDmS,6,4,10,0.6
BDmb,2,2,4,0.5
BDmh,1,0,1,1.0
BDml,1,0,1,1.0
BDmm,5,2,7,0.71
BDmn,2,2,4,0.5
BDms,1,3,4,0.25
BDmt,0,0,0,
BDnB,1,2,3,0.33
BDnD,2,1,3,0.67
BDnH,1,2,3,0.33
BDnK,1,0,1,1.0
BDnM,2,1,3,0.67
BDnN,4,2,6,0.67
BDnP,3,1,4,0.75
BDnS,1,1,2,0.5
BDnb,2,0,2,1.0
BDnm,1,0,1,1.0
BDnn,2,4,6,0.33
BDns,1,1,2,0.5
BDsB,1,2,3,0.33
BDsI,1,0,1,1.0
BDsL,1,0,1,1.0
BDsM,3,4,7,0.43
BDsN,0,1,1,0.0
BDsP,2,3,5,0.4
BDsS,1,2,3,0.33
BDsb,2,2,4,0.5
BDsl,0,1,1,0.0
BDsm,2,1,3,0.67
BDsn,1,0,1,1.0
BDss,3,2,5,0.6
BDtD,0,1,1,0.0
BDtM,1,0,1,1.0
BDtN,0,1,1,0.0
BDtm,1,0,1,1.0
BHBN,0,1,1,0.0
BHBs,1,0,1,1.0
BHDS,0,1,1,0.0
BHHN,0,1,1,0.0
BHHn,1,0,1,1.0
BHHs,1,0,1,1.0
BHIS,0,0,0,
BHKs,0,0,0,
BHLM,1,0,1,1.0
BHLS,1,1,2,0.5
BHMB,2,1,3,0.67
BHMn,0,0,0,
BHNB,1,0,1,1.0
BHNn,1,0,1,1.0
BHPm,0,0,0,
BHPs,0,0,0,
BHSP,1,0,1,1.0
BHSb,1,0,1,1.0
BHSn,1,0,1,1.0
BHbK,1,0,1,1.0
BHbL,1,0,1,1.0
BHbm,0,1,1,0.0
BHmB,1,0,1,1.0
BHmm,0,0,0,
BHtH,1,0,1,1.0
BILN,1,0,1,1.0
BIMS,0,1,1,0.0
BImb,0,1,1,0.0
BInm,0,1,1,0.0
BIsP,1,0,1,1.0
BKBL,0,1,1,0.0
BKBM,2,0,2,1.0
BKBN,1,2,3,0.33
BKBP,1,1,2,0.5
BKBS,2,0,2,1.0
BKBb,0,1,1,0.0
BKBm,1,2,3,0.33
BKBn,1,2,3,0.33
BKDD,0,1,1,0.0
BKDH,1,1,2,0.5
BKDP,0,1,1,0.0
BKDb,0,1,1,0.0
BKDm,1,0,1,1.0
BKDn,1,0,1,1.0
BKDs,0,0,0,
BKDt,0,0,0,
BKHB,0,1,1,0.0
BKHL,0,1,1,0.0
BKHM,0,1,1,0.0
BKHN,0,1,1,0.0
BKHm,0,0,0,
BKIP,1,0,1,1.0
BKIS,1,0,1,1.0
BKIm,0,1,1,0.0
BKIn,0,1,1,0.0
BKLB,0,0,0,
BKLD,2,0,2,1.0
BKLM,0,1,1,0.0
BKLP,4,0,4,1.0
BKLl,0,0,0,
BKLn,0,2,2,0.0
BKMB,2,1,3,0.67
BKMD,0,1,1,0.0
BKML,2,1,3,0.67
BKMM,1,0,1,1.0
BKMN,1,2,3,0.33
BKMP,2,3,5,0.4
BKMS,0,1,1,0.0
BKMb,1,0,1,1.0
BKMh,1,2,3,0.33
BKMl,0,1,1,0.0
BKMm,2,2,4,0.5
BKMn,2,0,2,1.0
BKMs,1,0,1,1.0
BKNB,2,2,4,0.5
BKND,0,1,1,0.0
BKNH,0,1,1,0.0
BKNM,0,1,1,0.0
BKNN,0,1,1,0.0
BKNP,4,0,4,1.0
BKNS,1,0,1,1.0
BKNb,1,1,2,0.5
BKNh,1,0,1,1.0
BKNm,2,1,3,0.67
BKNn,1,1,2,0.5
BKNs,0,1,1,0.0
BKPB,3,1,4,0.75
BKPD,0,4,4,0.0
BKPI,1,0,1,1.0
BKPM,0,2,2,0.0
BKPN,1,0,1,1.0
BKPP,2,2,4,0.5
BKPS,2,2,4,0.5
BKPb,2,2,4,0.5
BKPl,1,0,1,1.0
BKPm,2,2,4,0.5
BKPs,1,0,1,1.0
BKSB,1,0,1,1.0
BKSL,0,1,1,0.0
BKSM,2,3,5,0.4
BKSN,0,1,1,0.0
BKSP,2,2,4,0.5
BKSS,1,0,1,1.0
BKSb,2,0,2,1.0
BKSs,1,3,4,0.25
BKbB,0,1,1,0.0
BKbL,0,0,0,
BKbM,2,1,3,0.67
BKbN,1,0,1,1.0
BKbb,0,2,2,0.0
BKbm,4,0,4,1.0
BKbn,0,1,1,0.0
BKbs,1,1,2,0.5
BKhD,1,0,1,1.0
BKhH,0,1,1,0.0
BKhI,1,0,1,1.0
BKhM,2,0,2,1.0
BKhP,1,1,2,0.5
BKhS,0,2,2,0.0
BKhb,1,1,2,0.5
BKhh,1,0,1,1.0
BKhl,1,0,1,1.0
BKhm,0,1,1,0.0
BKhn,2,1,3,0.67
BKhs,0,1,1,0.0
BKht,1,1,2,0.5
BKlH,3,1,4,0.75
BKlJ,0,1,1,0.0
BKlL,0,1,1,0.0
BKlM,1,1,2,0.5
BKlN,1,1,2,0.5
BKll,1,1,2,0.5
BKlm,1,0,1,1.0
BKln,1,0,1,1.0
BKmB,2,3,5,0.4
BKmD,1,1,2,0.5
BKmH,2,0,2,1.0
BKmI,1,0,1,1.0
BKmL,0,1,1,0.0
BKmM,1,4,5,0.2
BKmN,0,2,2,0.0
BKmP,4,2,6,0.67
BKmS,1,1,2,0.5
BKmb,0,2,2,0.0
BKml,2,0,2,1.0
BKmm,2,1,3,0.67
BKmn,1,0,1,1.0
BKms,0,0,0,
BKnB,1,0,1,1.0
BKnD,0,1,1,0.0
BKnH,1,0,1,1.0
BKnI,0,0,0,
BKnL,0,1,1,0.0
BKnM,0,3,3,0.0
BKnN,1,0,1,1.0
BKnP,0,1,1,0.0
BKnS,0,1,1,0.0
BKnb,0,1,1,0.0
BKnm,1,1,2,0.5
BKnn,1,0,1,1.0
BKns,2,1,3,0.67
BKsD,1,1,2,0.5
BKsH,1,2,3,0.33
BKsI,1,0,1,1.0
BKsL,1,1,2,0.5
BKsM,0,2,2,0.0
BKsN,0,1,1,0.0
BKsP,1,1,2,0.5
BKsS,1,3,4,0.25
BKsb,0,1,1,0.0
BKsh,0,1,1,0.0
BKsm,2,1,3,0.67
BKsn,1,0,1,1.0
BKss,0,1,1,0.0
BKtD,1,0,1,1.0
BKtH,0,1,1,0.0
BKtN,0,1,1,0.0
BLBB,4,3,7,0.57
BLBD,1,0,1,1.0
BLBL,2,1,3,0.67
BLBM,1,4,5,0.2
BLBN,5,3,8,0.62
BLBP,3,4,7,0.43
BLBb,4,4,8,0.5
BLBh,0,2,2,0.0
BLBj,1,1,2,0.5
BLBl,2,0,2,1.0
BLBm,5,3,8,0.62
BLBn,3,4,7,0.43
BLBs,3,0,3,1.0
BLBt,2,0,2,1.0
BLDB,0,1,1,0.0
BLDD,1,0,1,1.0
BLDH,1,2,3,0.33
BLDI,1,0,1,1.0
BLDM,1,1,2,0.5
BLDN,1,0,1,1.0
BLDn,0,3,3,0.0
BLKL,0,0,0,
BLKb,0,1,1,0.0
BLKs,1,0,1,1.0
BLLB,1,4,5,0.2
BLLD,0,1,1,0.0
BLLM,0,2,2,0.0
BLLP,1,1,2,0.5
BLLS,0,1,1,0.0
BLLb,2,1,3,0.67
BLLh,1,1,2,0.5
BLLj,1,0,1,1.0
BLLm,0,1,1,0.0
BLLn,5,0,5,1.0
BLMB,6,4,10,0.6
BLML,1,1,2,0.5
BLMM,4,2,6,0.67
BLMN,3,1,4,0.75
BLMP,3,5,8,0.38
BLMS,1,1,2,0.5
BLMb,7,1,8,0.88
BLMh,4,1,5,0.8
BLMl,3,0,3,1.0
BLMm,4,1,5,0.8
BLMn,4,1,5,0.8
BLMs,6,1,7,0.86
BLNB,2,5,7,0.29
BLND,1,2,3,0.33
BLNH,1,1,2,0.5
BLNK,0,1,1,0.0
BLNL,1,2,3,0.33
BLNM,2,1,3,0.67
BLNN,3,1,4,0.75
BLNP,4,4,8,0.5
BLNS,4,2,6,0.67
BLNh,1,1,2,0.5
BLNm,2,6,8,0.25
BLNn,6,1,7,0.86
BLNs,0,3,3,0.0
BLPB,3,5,8,0.38
BLPH,1,0,1,1.0
BLPI,1,1,2,0.5
BLPL,2,4,6,0.33
BLPM,2,5,7,0.29
BLPN,8,8,16,0.5
BLPP,9,11,20,0.45
BLPS,4,3,7,0.57
BLPb,6,6,12,0.5
BLPh,3,1,4,0.75
BLPl,3,0,3,1.0
BLPm,4,3,7,0.57
BLPn,6,8,14,0.43
BLPs,2,2,4,0.5
BLSB,1,0,1,1.0
BLSD,0,2,2,0.0
BLSH,0,1,1,0.0
BLSL,2,1,3,0.67
BLSM,1,0,1,1.0
BLSN,1,1,2,0.5
BLSP,2,1,3,0.67
BLSS,1,2,3,0.33
BLSb,2,0,2,1.0
BLSm,2,2,4,0.5
BLSn,0,1,1,0.0
BLSs,3,3,6,0.5
BLSt,0,1,1,0.0
BLbB,3,7,10,0.3
BLbH,1,0,1,1.0
BLbJ,1,1,2,0.5
BLbK,0,1,1,0.0
BLbL,1,1,2,0.5
BLbM,2,5,7,0.29
BLbN,5,6,11,0.45
BLbP,3,5,8,0.38
BLbS,0,0,0,
BLbb,3,0,3,1.0
BLbm,1,4,5,0.2
BLbn,0,3,3,0.0
BLbs,2,0,2,1.0
BLhB,1,3,4,0.25
BLhD,0,1,1,0.0
BLhI,1,0,1,1.0
BLhM,1,0,1,1.0
BLhN,0,1,1,0.0
BLhP,0,1,1,0.0
BLhb,0,1,1,0.0
BLhl,1,2,3,0.33
BLhm,2,2,4,0.5
BLhn,4,1,5,0.8
BLhs,0,1,1,0.0
BLjB,1,1,2,0.5
BLjD,1,0,1,1.0
BLjN,0,1,1,0.0
BLjP,2,1,3,0.67
BLjS,2,1,3,0.67
BLjb,1,0,1,1.0
BLjm,0,1,1,0.0
BLjn,2,0,2,1.0
BLjs,2,0,2,1.0
BLlB,1,2,3,0.33
BLlD,1,0,1,1.0
BLlH,2,2,4,0.5
BLlJ,0,1,1,0.0
BLlM,1,2,3,0.33
BLlN,4,2,6,0.67
BLlP,1,2,3,0.33
BLlS,1,0,1,1.0
BLlb,1,0,1,1.0
BLlm,1,0,1,1.0
BLln,5,1,6,0.83
BLls,0,2,2,0.0
BLmB,1,2,3,0.33
BLmD,1,0,1,1.0
BLmH,3,4,7,0.43
BLmJ,0,1,1,0.0
BLmK,0,1,1,0.0
BLmL,3,1,4,0.75
BLmM,3,5,8,0.38
BLmN,2,10,12,0.17
BLmP,3,6,9,0.33
BLmS,2,3,5,0.4
BLmb,1,3,4,0.25
BLml,1,1,2,0.5
BLmm,4,5,9,0.44
BLmn,3,6,9,0.33
BLms,2,1,3,0.67
BLnB,0,5,5,0.0
BLnH,2,3,5,0.4
BLnI,1,0,1,1.0
BLnL,0,2,2,0.0
BLnM,6,3,9,0.67
BLnN,4,4,8,0.5
BLnP,2,6,8,0.25
BLnS,10,3,13,0.77
BLnb,3,9,12,0.25
BLnl,0,3,3,0.0
BLnm,7,4,11,0.64
BLnn,4,8,12,0.33
BLns,4,4,8,0.5
BLsB,0,0,0,
BLsD,1,2,3,0.33
BLsH,2,4,6,0.33
BLsI,1,2,3,0.33
BLsL,0,1,1,0.0
BLsM,1,4,5,0.2
BLsN,3,1,4,0.75
BLsP,5,2,7,0.71
BLsS,0,2,2,0.0
BLsb,2,1,3,0.67
BLsm,2,0,2,1.0
BLsn,0,3,3,0.0
BLss,2,3,5,0.4
BLtH,0,1,1,0.0
BLtL,1,0,1,1.0
BLtN,1,0,1,1.0
BLtP,1,1,2,0.5
BLtb,1,1,2,0.5
BLtm,0,0,0,
BMBB,9,17,26,0.35
BMBD,1,0,1,1.0
BMBK,0,2,2,0.0
BMBL,2,1,3,0.67
BMBM,7,10,17,0.41
BMBN,9,11,20,0.45
BMBP,12,10,22,0.55
BMBS,6,1,7,0.86
BMBb,13,16,29,0.45
BMBh,1,0,1,1.0
BMBj,2,2,4,0.5
BMBl,2,2,4,0.5
BMBm,10,11,21,0.48
BMBn,12,13,25,0.48
BMBs,3,5,8,0.38
BMBt,1,2,3,0.33
BMDB,0,3,3,0.0
BMDD,0,2,2,0.0
BMDH,1,1,2,0.5
BMDL,0,0,0,
BMDM,0,3,3,0.0
BMDN,2,0,2,1.0
BMDP,1,1,2,0.5
BMDS,3,1,4,0.75
BMDb,0,3,3,0.0
BMDm,0,2,2,0.0
BMDn,2,1,3,0.67
BMDs,0,2,2,0.0
BMHB,0,1,1,0.0
BMHS,1,0,1,1.0
BMIM,0,1,1,0.0
BMIm,1,0,1,1.0
BMKS,0,1,1,0.0
BMKn,1,1,2,0.5
BMLB,2,2,4,0.5
BMLL,2,1,3,0.67
BMLM,4,3,7,0.57
BMLN,1,5,6,0.17
BMLP,1,2,3,0.33
BMLS,0,2,2,0.0
BMLb,2,2,4,0.5
BMLh,1,0,1,1.0
BMLj,0,1,1,0.0
BMLl,2,0,2,1.0
BMLm,1,3,4,0.25
BMLn,4,3,7,0.57
BMLs,0,1,1,0.0
BMMB,6,14,20,0.3
BMMD,2,2,4,0.5
BMML,1,0,1,1.0
BMMM,7,12,19,0.37
BMMN,8,8,16,0.5
BMMP,9,15,24,0.38
BMMS,6,3,9,0.67
BMMb,10,11,21,0.48
BMMh,6,4,10,0.6
BMMj,1,0,1,1.0
BMMl,4,0,4,1.0
BMMm,12,8,20,0.6
BMMn,13,17,30,0.43
BMMs,2,8,10,0.2
BMMt,1,0,1,1.0
BMNB,12,5,17,0.71
BMND,2,1,3,0.67
BMNH,1,2,3,0.33
BMNI,1,0,1,1.0
BMNK,1,0,1,1.0
BMNL,4,2,6,0.67
BMNM,4,7,11,0.36
BMNN,16,9,25,0.64
BMNP,6,12,18,0.33
BMNS,6,4,10,0.6
BMNb,6,9,15,0.4
BMNh,1,2,3,0.33
BMNl,3,0,3,1.0
BMNm,12,7,19,0.63
BMNn,12,12,24,0.5
BMNs,6,3,9,0.67
BMNt,6,0,6,1.0
BMPB,12,10,22,0.55
BMPD,0,0,0,
BMPH,1,5,6,0.17
BMPI,4,0,4,1.0
BMPK,1,0,1,1.0
BMPL,2,7,9,0.22
BMPM,12,4,16,0.75
BMPN,6,8,14,0.43
BMPP,19,18,37,0.51
BMPS,9,3,12,0.75
BMPb,6,8,14,0.43
BMPh,1,4,5,0.2
BMPl,2,7,9,0.22
BMPm,15,7,22,0.68
BMPn,12,5,17,0.71
BMPs,8,1,9,0.89
BMPt,1,0,1,1.0
BMSB,5,7,12,0.42
BMSD,1,1,2,0.5
BMSH,2,1,3,0.67
BMSI,0,1,1,0.0
BMSL,0,5,5,0.0
BMSM,8,6,14,0.57
BMSN,5,2,7,0.71
BMSP,10,3,13,0.77
BMSS,8,11,19,0.42
BMSb,5,4,9,0.56
BMSh,4,1,5,0.8
BMSl,1,2,3,0.33
BMSm,10,10,20,0.5
BMSn,1,4,5,0.2
