candlestick_code3,label_increase,label_decrease,occurrence,percentage
BBB,1238,1237,2475,0.5
BBD,727,777,1504,0.48
BBN,1245,1387,2632,0.47
BBb,1473,1378,2851,0.52
BBn,1376,1299,2675,0.51
BDB,728,771,1499,0.49
BDD,516,530,1046,0.49
BDN,827,848,1675,0.49
BDb,959,883,1842,0.52
BDn,894,846,1740,0.51
BNB,1253,1285,2538,0.49
BND,841,882,1723,0.49
BNN,1488,1512,3000,0.5
BNb,1485,1337,2822,0.53
BNn,1618,1601,3219,0.5
BbB,1400,1405,2805,0.5
BbD,821,800,1621,0.51
BbN,1522,1606,3128,0.49
Bbb,1520,1281,2801,0.54
Bbn,1486,1477,2963,0.5
BnB,1259,1260,2519,0.5
BnD,871,984,1855,0.47
BnN,1554,1699,3253,0.48
Bnb,1468,1365,2833,0.52
Bnn,1594,1548,3142,0.51
DBB,816,854,1670,0.49
DBD,529,548,1077,0.49
DBN,848,836,1684,0.5
DBb,1043,886,1929,0.54
DBn,880,888,1768,0.5
DDB,626,602,1228,0.51
DDD,509,463,972,0.52
DDN,637,597,1234,0.52
DDb,747,663,1410,0.53
DDn,590,624,1214,0.49
DNB,859,884,1743,0.49
DND,610,632,1242,0.49
DNN,959,982,1941,0.49
DNb,1004,913,1917,0.52
DNn,960,988,1948,0.49
DbB,1082,1079,2161,0.5
DbD,594,602,1196,0.5
DbN,967,953,1920,0.5
Dbb,1154,1038,2192,0.53
Dbn,936,914,1850,0.51
DnB,888,905,1793,0.5
DnD,674,646,1320,0.51
DnN,1004,1046,2050,0.49
Dnb,1068,968,2036,0.52
Dnn,1027,997,2024,0.51
NBB,1234,1364,2598,0.47
NBD,770,844,1614,0.48
NBN,1380,1478,2858,0.48
NBb,1519,1358,2877,0.53
NBn,1465,1439,2904,0.5
NDB,866,951,1817,0.48
NDD,664,670,1334,0.5
NDN,1004,1019,2023,0.5
NDb,1132,990,2122,0.53
NDn,1133,1103,2236,0.51
NNB,1447,1470,2917,0.5
NND,1083,1178,2261,0.48
NNN,1856,1877,3733,0.5
NNb,1699,1531,3230,0.53
NNn,1827,1906,3733,0.49
NbB,1449,1512,2961,0.49
NbD,915,926,1841,0.5
NbN,1684,1606,3290,0.51
Nbb,1680,1349,3029,0.55
Nbn,1547,1541,3088,0.5
NnB,1438,1517,2955,0.49
NnD,1114,1173,2287,0.49
NnN,1897,1967,3864,0.49
Nnb,1815,1597,3412,0.53
Nnn,1957,1923,3880,0.5
bBB,1433,1447,2880,0.5
bBD,908,960,1868,0.49
bBN,1606,1656,3262,0.49
bBb,1645,1408,3053,0.54
bBn,1660,1584,3244,0.51
bDB,856,888,1744,0.49
bDD,544,582,1126,0.48
bDN,882,857,1739,0.51
bDb,962,867,1829,0.53
bDn,940,869,1809,0.52
bNB,1388,1372,2760,0.5
bND,960,974,1934,0.5
bNN,1732,1720,3452,0.5
bNb,1625,1446,3071,0.53
bNn,1827,1732,3559,0.51
bbB,1675,1588,3263,0.51
bbD,823,798,1621,0.51
bbN,1568,1647,3215,0.49
bbb,1668,1356,3024,0.55
bbn,1535,1357,2892,0.53
bnB,1436,1418,2854,0.5
bnD,952,925,1877,0.51
bnN,1551,1568,3119,0.5
bnb,1573,1349,2922,0.54
bnn,1600,1526,3126,0.51
n,1,0,1,1.0
nB,0,1,1,0.0
nBB,1210,1332,2542,0.48
nBD,831,881,1712,0.49
nBN,1439,1491,2930,0.49
nBb,1437,1380,2817,0.51
nBn,1548,1475,3023,0.51
nDB,934,967,1901,0.49
nDD,698,720,1418,0.49
nDN,1074,1053,2127,0.5
nDb,1166,1043,2209,0.53
nDn,1106,1052,2158,0.51
nNB,1437,1489,2926,0.49
nND,1069,1169,2238,0.48
nNN,1842,1748,3590,0.51
nNb,1742,1546,3288,0.53
nNn,1962,1973,3935,0.5
nbB,1632,1556,3188,0.51
nbD,927,891,1818,0.51
nbN,1635,1627,3262,0.5
nbb,1678,1427,3105,0.54
nbn,1621,1436,3057,0.53
nnB,1468,1527,2995,0.49
nnD,1176,1171,2347,0.5
nnN,1774,1858,3632,0.49
nnb,1854,1484,3338,0.56
nnn,1864,1790,3654,0.51
